                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90655,                0.41181,                 1.0744,                0.96012,                0.93737,                0.96112,                0.65779,                    nan,                    nan,                    nan,             0.00066616,             0.00066616,             0.00066616
                      2,                  1.022,                0.50087,                 1.1323,                0.96279,                0.91839,                0.96255,                0.64547,                    nan,                    nan,                    nan,                0.00128,                0.00128,                0.00128
                      3,                 1.0695,                0.53999,                 1.1562,                0.94989,                0.92214,                0.95666,                0.64729,                    nan,                    nan,                    nan,              0.0018411,              0.0018411,              0.0018411
                      4,                 1.0826,                0.54633,                 1.1665,                0.95755,                0.91745,                0.95957,                0.65393,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      5,                  1.081,                 0.5421,                 1.1662,                0.97285,                0.92542,                0.96685,                0.65662,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.0758,                0.53502,                 1.1591,                0.96746,                0.91698,                0.96179,                0.65809,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.0636,                0.52238,                 1.1538,                 0.9688,                0.93198,                 0.9682,                0.67072,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      8,                 1.0533,                0.51338,                 1.1466,                0.97843,                0.93386,                0.96929,                0.65554,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0478,                0.50305,                 1.1427,                0.97782,                0.93038,                0.96805,                0.67082,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.0383,                0.49634,                 1.1405,                 0.9778,                0.92949,                0.97028,                0.67095,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0267,                0.49034,                 1.1329,                0.97441,                0.92855,                0.97016,                0.67371,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0206,                0.48049,                 1.1291,                0.96474,                0.94606,                0.96744,                0.66679,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     13,                 1.0167,                0.47888,                 1.1298,                0.97152,                0.93527,                0.96844,                0.67245,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.0053,                0.46742,                 1.1212,                0.97001,                0.94606,                 0.9729,                0.67395,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     15,                0.99646,                0.46187,                 1.1167,                0.97058,                0.94397,                0.97175,                0.67469,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     16,                0.97656,                0.38534,                 1.1405,                0.96772,                0.94653,                0.96978,                 0.6816,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     17,                0.95995,                 0.3775,                 1.1258,                0.98086,                0.93734,                0.97092,                 0.6793,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     18,                0.94675,                 0.3708,                 1.1186,                0.97769,                0.93856,                0.97229,                0.67953,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     19,                0.93689,                0.36195,                 1.1162,                0.97919,                0.94371,                0.97232,                0.68536,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     20,                0.92463,                0.35379,                 1.1104,                0.97678,                0.94841,                0.97293,                0.68279,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     21,                0.91195,                0.34744,                 1.0983,                0.97628,                0.94606,                0.97284,                0.68477,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     22,                 0.9015,                0.34212,                 1.0909,                0.97519,                0.94981,                 0.9723,                0.68187,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     23,                0.88739,                0.33627,                 1.0836,                0.97648,                0.94981,                0.97273,                0.68533,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     24,                0.87916,                0.32882,                 1.0796,                0.97901,                0.94278,                0.97166,                0.68494,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     25,                 0.8724,                0.32271,                 1.0758,                0.98094,                0.94231,                0.97127,                0.68492,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
